,Price,Year,Mileage,State,Vin,Make,Model,Condition,Sales_Channel
0,16988,2016,23728,TX,3C4PDCBG5GT100221,Dodge,Journeyfwd,,Public
1,20319,2004,41730,TX,1G1YY32G145130880,Chevrolet,Corvette2Dr,,Public
2,10500,2015,42106,WI,1G1PC5SB0F7257279,Chevrolet,Cruze1Lt,,Public
3,15699,2017,349,IN,3MYDLBYV9HY180991,Toyota,Yaris,,Public
4,14598,2015,30469,CO,KNAFZ6A38F5374179,Kia,Forte,,Public
5,2995,2008,155236,MI,5NPET46C68H328396,Hyundai,Sonata4Dr,,Public
6,5495,2011,97200,CT,5NPEB4AC0BH001252,Hyundai,Sonata4Dr,,Public
7,30999,2015,44857,FL,4JGDA5JB8FA484106,Mercedes-Benz,M-Classml350,,Public
8,16277,2015,36831,MA,4T1BF1FK3FU967852,Toyota,Camryse,,Public
9,82888,2015,15315,TX,WP0AA2A98FS106302,Porsche,911Coupe,,Public
10,12555,2014,53621,FL,2T1BURHE6EC083769,Toyota,Corollal,,Public
11,53995,2014,49448,NJ,ZAM56RRA1E1076697,Maserati,Quattroportes,,Public
12,28119,2016,7784,OK,3C6RR6KT6GG119045,Ram,"1500Tradesman,",,Public
13,16999,2014,72543,TN,JTHKD5BH8E2186734,Lexus,Ct,,Public
14,26995,2016,31205,IL,1C4RJFAG2GC478030,Jeep,Grand,,Public
15,25491,2014,17033,WI,1G6AM5S35E0112493,Cadillac,Ats3.6L,,Public
16,10900,2014,87314,VA,4T1BF1FK6EU344935,Toyota,Camryle,,Public
17,11800,2011,85260,CA,JTDKN3DU1B0298859,Toyota,Prius5Dr,,Public
18,6000,2007,82457,NY,5NPET46C67H222688,Hyundai,Sonata4Dr,,Public
19,18007,2017,33013,CO,2G4GL5EX2H9103524,Buick,Regalsport,,Public
20,13828,2015,65724,SC,1FMCU0G75FUA19211,Ford,Escapefwd,,Public
21,28791,2014,56356,ND,1GNKVJKD1EJ346616,Chevrolet,Traverseltz,,Public
22,13985,2016,12259,FL,3N1CE2CP9GL368499,Nissan,Versa,,Public
23,35995,2013,52242,AZ,1C4BJWEG7DL543882,Jeep,Wrangler,,Public
24,18500,2015,86337,IN,5J6RM4H94FL006827,Honda,Cr-Vtouring,,Public
25,37300,2017,16948,NC,WA1C2AFP3HA074899,Audi,Q52.0,,Public
26,23597,2015,43007,MI,1GNKVHKD8FJ204676,Chevrolet,Traverse2Lt,,Public
27,14045,2016,23864,WA,1C3CCCAB1GN170858,Chrysler,200Limited,,Public
28,13988,2016,36967,AZ,KNAFX4A69G5554793,Kia,Forteautomatic,,Public
29,29799,2015,49422,TX,WA1LFAFP5FA108567,Audi,Q52.0T,,Public
30,21977,2013,44594,VA,WBA3B5C54DF597567,Bmw,3,,Public
31,32583,2016,21259,NV,3GCPCREC3GG312185,Chevrolet,Silverado,,Public
32,19791,2015,11722,CA,3CZRM3H33FG716787,Honda,Cr-Vlx,,Public
33,51999,2015,66073,MD,WDDUG8FB1FA088487,Mercedes-Benz,S-Classs550,,Public
34,17494,2014,39783,FL,1HGCR2F8XEA296031,Honda,Accord,,Public
35,16997,2017,41275,SC,1N4AL3AP7HN302673,Nissan,Altima2.5,,Public
36,11985,2016,38222,FL,1C4NJCEA3GD633097,Jeep,Compasslatitude,,Public
37,23500,2013,78521,CA,3TMKU4HN4DM035440,Toyota,Tacomadouble,,Public
38,26857,2015,27418,CA,19UUB2F56FA020283,Acura,Tlxfwd,,Public
