,Price,Year,Mileage,State,Vin,Make,Model,Condition,Sales_Channel
132211,9995,2008,128265,ME,1N6AD06WX8C451576,Nissan,Frontier,Excellent,Public
288529,2100,2010,169835,MD,5NPET4AC9AH609783,Hyundai,Sonata,Unknown,Public
339986,14000,2010,110618,OH,1D7RV1GT1AS204901,Ram,1500 Laramie,Unknown,Public
341480,25995,2013,74243,ID,1GC1KXCG2DF117307,Chevrolet,Silverado 2500Hd,Unknown,Public
403924,8500,1981,191101,CA,WDBAB30A0BB217255,Mercedes-Benz,300D,Good,Auction
523,11989,2010,104778,NC,3D7JV1EP2AG180330,Ram,1500,Unknown,Public
524694,8495,2010,156203,MN,JM3TB3MA3A0207082,Mazda,Cx-9,Excellent,Public
81544,14500,2017,36168,AL,2GNALBEK3H1550642,Chevrolet,Equinox Ls Sport,Good,Public
489906,11999,2014,47953,OR,WVWDB7AJ7EW001064,Volkswagen,Golf,Unknown,Public
265453,0,2013,87410,CA,1C4SDHCT9DC698016,Dodge,Durango,Unknown,Public
340580,21995,2010,61442,PA,1FDAX4HR5AEA31268,Ford,F-450,Unknown,Public
506431,12989,2010,111986,NV,2HNYD2H7XAH528589,Acura,Mdx,Excellent,Public
418147,12480,2016,87863,CA,5N1AT2MT4GC785994,Nissan,Rogue,Unknown,Public
111384,8995,2012,106000,FL,WVWEV7AJ4CW268882,Volkswagen,Gti,Unknown,Public
78455,5900,2009,77974,NE,4T4BE46K99R104584,Toyota,Camry,Good,Public
470839,13675,2012,170255,AL,1GKS1MEF9CR308380,Gmc,Yukon Xl,Excellent,Public
139011,3495,2006,157854,IN,3N1CB51D56L597599,Nissan,Sentra,Excellent,Public
248752,37999,2015,34006,WA,1FD0W4HY5FED00608,Ford,F450 Xlt Dually 4X4 Gas,Unknown,Public
391526,23990,2013,43000,MT,1FT8W3D6XDEB43449,Ford,F350,Excellent,Public
182419,25500,2019,28951,VA,2G61M5S30K9133057,Cadillac,Xts,Unknown,Public
28758,22395,2017,42363,MO,1G1FX6S02H4140862,Chevrolet,Bolt Premier,Excellent,Public
205705,17491,2017,28902,CO,SHHFK7H24HU412260,Honda,Civic,Unknown,Public
