Price,Year,Mileage,City,State,Vin,Make,Model
37900,2014,10449,Wallingford, CT,5YJSA1S10EFP52730,Tesla,Model
37900,2013,58573,Rahway, NJ,5YJSA1CG9DFP08310,Tesla,Model
39995,2013,35414,Union City, GA,5YJSA1CG1DFP21469,Tesla,Model
40995,2013,38248,Atlanta, GA,5YJSA1AC4DFP10594,Tesla,Model
39910,2013,51806,Waukegean, IL,5YJSA1DN0DFP09116,Tesla,Model
38999,2013,66795,Marrieta, GA,5YJSA1AC1DFP10911,Tesla,Model
41995,2013,34788,Marietta, GA,5YJSA1CG3DFP03989,Tesla,Model
41995,2013,37483,Burr Ridge, IL,5YJSA1DN8DFP09977,Tesla,Model
40988,2012,66618,Burlingame, CA,5YJSA1DP1CFS00989,Tesla,Model
41990,2013,41215,Portland, OR,5YJSA1CG0DFP21723,Tesla,Model
39577,2013,73204,Carrollton, TX,5YJSA1AG8DFP08267,Tesla,Model
42950,2013,34555,Bellevue, WA,5YJSA1AG9DFP07564,Tesla,Model
41995,2014,60381,Burr Ridge, IL,5YJSA1H18EFP51896,Tesla,Model
44988,2013,28367,Palo Alto, CA,5YJSA1AC2DFP10142,Tesla,Model
42795,2013,43767,Bensenville, IL,5YJSA1DN8DFP13155,Tesla,Model
44800,2013,22373,Westmont, IL,5YJSA1AC1DFP11153,Tesla,Model
42230,2013,51708,Philadelphia, PA,5YJSA1CNXDFP09108,Tesla,Model
41995,2013,60710,Manassas, VA,5YJSA1CN7DFP12144,Tesla,Model
42451,2013,55720,Venice, CA,5YJSA1AG4DFP10680,Tesla,Model
42495,2013,58950,Manassas, VA,5YJSA1DN9DFP11141,Tesla,Model
44546,2013,34518,Roswell, GA,5YJSA1CN6DFP26519,Tesla,Model
42994,2013,53614,Roswell, GA,5YJSA1AC0DFP10947,Tesla,Model
44995,2013,30918,Virginia Beach, VA,5YJSA1CN9DFP25350,Tesla,Model
43885,2013,44979,Costa Mesa, CA,5YJSA1CG1DFP11458,Tesla,Model
44995,2013,34230,Jacksonville, FL,5YJSA1CG3DFP14782,Tesla,Model
42995,2013,58987,Salt Lake City, UT,5YJSA1CN3DFP08222,Tesla,Model
43977,2013,51165,Carrollton, TX,5YJSA1AG4DFP08489,Tesla,Model
44880,2012,32959,Seattle, WA,5YJSA1DP7CFP01949,Tesla,Model
44500,2013,46944,Hermosa Beach, CA,5YJSA1CN3DFP10441,Tesla,Model
44577,2013,46882,Carrollton, TX,5YJSA1CG4DFP07856,Tesla,Model
45800,2014,41493,San Jose, CA,5YJSA1S19EFP41337,Tesla,Model
45990,2014,45497,Indianapolis, IN,5YJSA1H11EFP49990,Tesla,Model
44950,2013,57637,Daytona, FL,5YJSA1CN2DFP17459,Tesla,Model
46318,2013,45833,East Hartford, CT,5YJSA1DP1DFP12608,Tesla,Model
46993,2013,41190,Mountain View, CA,5YJSA1DP7DFP05310,Tesla,Model
44480,2013,62399,Philadelphia, PA,5YJSA1CN9DFP07351,Tesla,Model
50000,2014,22847,Wilsonville, OR,5YJSA1S13EFP40474,Tesla,Model
48995,2014,26672,Manassas, VA,5YJSA1H1XEFP55013,Tesla,Model
46850,2013,54600,Mission Viejo, CA,5YJSA1DP9DFP12758,Tesla,Model
47995,2014,39985,Virginia Beach, VA,5YJSA1H15EFP40869,Tesla,Model
46900,2013,53580,South Jordan, UT,5YJSA1DN4DFP18871,Tesla,Model
44959,2014,78346,Birmingham, AL,5YJSA1H13EFP57220,Tesla,Model
49995,2013,9549,Virginia Beach, VA,5YJSA1CN9DFP21654,Tesla,Model
49995,2014,18667,Honolulu, HI,5YJSA1S13EFP41107,Tesla,Model
45999,2012,49830,Marrieta, GA,5YJSA1DP5CFS00672,Tesla,Model
47995,2014,44494,Manassas, VA,5YJSA1H19EFP38140,Tesla,Model
49995,2013,11890,Honolulu, HI,5YJSA1CG9DFP16973,Tesla,Model
49897,2014,22719,Marietta, GA,5YJSA1H19EFP43791,Tesla,Model
47995,2014,45663,Manassas, VA,5YJSA1H16EFP32358,Tesla,Model
49990,2013,15896,Indianapolis, IN,5YJSA1CPXDFP24855,Tesla,Model
50495,2014,28606,Duarte, CA,5YJSA1S19EFP33254,Tesla,Model
47975,2014,50286,Marietta, GA,5YJSA1H19EFP44925,Tesla,Model
48800,2013,32280,Westmont, IL,5YJSA1DP1DFP21177,Tesla,Model
48900,2014,40268,Rahway, NJ,5YJSA1H13EFP44323,Tesla,Model
48000,2013,42704,Scottsdale, AZ,5YJSA1CN5DFP07377,Tesla,Model
49977,2013,25634,Carrollton, TX,5YJSA1CN6DFP04262,Tesla,Model
48500,2013,43615,Falls Church, VA,5YJSA1CP6DFP21225,Tesla,Model
49995,2014,34885,Manassas, VA,5YJSA1H11EFP40884,Tesla,Model
49995,2013,27402,Honolulu, HI,5YJSA1CG4DFP04892,Tesla,Model
51499,2013,19537,Seattle, WA,5YJSA1DP9DFP05700,Tesla,Model
49990,2013,28058,Indianapolis, IN,5YJSA1DPXDFP04202,Tesla,Model
48895,2014,56201,San Carlos, CA,5YJSA1S14EFP41472,Tesla,Model
52000,2014,19025,Seattle, WA,5YJSA1H12EFP60948,Tesla,Model
47995,2013,58705,Salt Lake City, UT,5YJSA1CP2DFP13199,Tesla,Model
48977,2013,46883,Carrollton, TX,5YJSA1DP9DFP20763,Tesla,Model
49880,2012,28086,Seattle, WA,5YJSA1DP5CFS00395,Tesla,Model
48877,2012,41015,Carrollton, TX,5YJSA1CN9CFP02424,Tesla,Model
51495,2013,21394,Tinley Park, IL,5YJSA1CP0DFP07448,Tesla,Model
